Category,Ticker,Name,LONG_COMP_NAME,CURRENCY,SOURCE,SW_DETAILED_DESCRIPTION,INDX_DES,INDX_SOURCE,COUNTRY,REGION_OR_COUNTRY,RELEVANCE_VALUE,,,Field
Equity,CCMP Index,NASDAQ COMPOSITE INDEX,NASDAQ Composite Index,USD,#N/A Invalid Field,#N/A Field Not Applicable,"The NASDAQ Composite Index is a broad-based capitalization-weighted index of stocks in all three NASDAQ tiers: Global Select, Global Market and Capital Market. The index was developed with a base level of 100 as of February 5, 1971.",NASDAQ Global Market,US,North/Latin America,#N/A Field Not Applicable,,,
Equity,IBOV Index,BRAZIL IBOVESPA INDEX,Ibovespa Brasil Sao Paulo Stock Exchange Index,BRL,#N/A Invalid Field,#N/A Field Not Applicable,"It is a gross total return index weighted by market value to the free float & is comprised of the most liquid stocks traded on the Sao Paulo Stock Exchange. The Ibovespa Index has been divided 10 times by a factor of 10 since Jan 1, 1985:12/02/85, 08/29/88, 04/14/89, 01/12/90, 05/28/91, 01/21/92, 01/26/93, 08/27/93, 02/10/94, and 03/03/97. See IBOVHIST <INDEX> for additional history 1968-1989.",BOVESPA,BZ,North/Latin America,#N/A Field Not Applicable,,,
Equity,MXEF Index,MSCI EM,MSCI Emerging Markets Index,USD,#N/A Invalid Field,#N/A Field Not Applicable,The MSCI Em (Emerging Markets) Index is a free-float weighted equity index that captures large and mid cap representation across Emerging Markets (EM) countries. The index covers approximately 85% of the free float-adjusted market capitalization in each country.,MSCI,MULT,Local,#N/A Field Not Applicable,,,
Equity,HSCEI Index,HANG SENG CHINA ENT INDX,Hong Kong Stock Exchange Hang Seng China Enterprises Index,HKD,#N/A Invalid Field,#N/A Field Not Applicable,"The Hang Seng China Enterprises Index is a free-float capitalization-weighted index comprised of H-Shares listed on the Hong Kong Stock Exchange and included in the Hang Seng Mainland Composite Index. The base value of this index is 2000 as of Jan 3, 2000. This index replaced the old HSCE index on Oct. 3, 2001.",Hong Kong Stock Exchange,HK,Pacific Rim,#N/A Field Not Applicable,,,
Equity,MXWO Index,MSCI WORLD,MSCI World Index,USD,#N/A Invalid Field,#N/A Field Not Applicable,"The MSCI World Index is a free-float weighted equity index. It was developed with a base value of 100 as of December 31, 1969. MXWO includes developed world markets, and does not include emerging markets. MXWD includes both emerging and developed markets.",MSCI,MULT,Local,#N/A Field Not Applicable,,,
Equity,FTSEMIB Index,FTSE MIB INDEX,FTSE MIB Index,EUR,#N/A Invalid Field,#N/A Field Not Applicable,The Index consists of the 40 most liquid and capitalized stocks listed on the Borsa Italiana. In the FTSE MIB Index foreign shares are eligible for inclusion. Secondary lines are not eligible for inclusion. The calculation and methodology is unchanged from S&P MIB Index.,FTSE,IT,Europe/Africa,#N/A Field Not Applicable,,,
FI,BBDXY Index,Bloomberg Dollar Spot,#N/A Field Not Applicable,USD,#N/A Invalid Field,#N/A Field Not Applicable,#N/A Field Not Applicable,Bloomberg,#N/A N/A,#N/A Field Not Applicable,#N/A Field Not Applicable,,,
FI,LBUSTRUU Index,U.S. Aggregate,Bloomberg Barclays US Agg Total Return Value Unhedged USD,USD,#N/A Invalid Field,#N/A Field Not Applicable,"The Bloomberg Barclays US Aggregate Bond Index is a broad-based flagship benchmark that measures the investment grade, US dollar-denominated, fixed-rate taxable bond market. The index includes Treasuries, government-related and corporate securities, MBS (agency fixed-rate and hybrid ARM pass-throughs), ABS and CMBS (agency and non-agency).",Bloomberg Indices,US,North/Latin America,#N/A Field Not Applicable,,,
FI,H0A0 Index,US High Yield,BofA Merrill Lynch US High Yield Index,USD,#N/A Invalid Field,#N/A Field Not Applicable,The BofA Merrill Lynch US High Yield Index tracks the performance of US dollar denominated below investment grade corporate debt publicly issued in the US domestic market. For a full description of this index type H0A0<Index><Go> then click on the Description button on the blue menu bar.,Merrill Lynch,US,North/Latin America,#N/A Field Not Applicable,,,
FI,LF98TRUU Index,US Corp High Yield,Bloomberg Barclays US Corporate High Yield Total Return Index Value Unhedged USD,USD,#N/A Invalid Field,#N/A Field Not Applicable,"The Bloomberg Barclays US Corporate High Yield Bond Index measures the USD-denominated, high yield, fixed-rate corporate bond market. Securities are classified as high yield if the middle rating of Moody's, Fitch and S&P is Ba1/BB+/BB+ or below. Bonds from issuers with an emerging markets country of risk, based on Barclays EM country definition, are excluded",Bloomberg Indices,US,North/Latin America,#N/A Field Not Applicable,,,
